Review,Studiengang,cleaned_review,sentiment,category
"Ich kann zu dem Studiengang Medienmanagement nur sagen, er ist etwas für kreative Köpfe. Mittweida gibt dir einen guten praxisnahen Einblick. Natürlich muss man aber bedenken, dass dieser Beruft hauptsächlich in Großstädten gesucht wird und man auf dem Land nicht weit kommt.",Mittweida,medienmanagement sagen kreative köpfe mittweida gibt guten praxisnahen einblick natürlich bedenken beruft hauptsächlich großstädten gesucht land weit kommt,0.0,Praxisbezug
"Ich habe zum Beginn von Corona angefangen in Mittweida zu studieren und muss sagen die Hochschule hat trotz vieler Schwierigkeiten immer schnell und angemessen reagiert. Auch die Online-Lehre hat immer unproblematisch funktioniert. Über Opal konnte man jederzeit auf die Studieninhalte zugreifen.Was mir besonders am Studiengang gefallen hat ist, dass er neben den normalen Vorlesungen auch viele Praxismodule bietet in denen man direkt das was man in den Grundlagen...Erfahrungsbericht weiterlesen",Mittweida,beginn corona angefangen mittweida sagen trotz vieler schwierigkeiten schnell angemessen reagiert unproblematisch funktioniert opal konnte jederzeit studieninhalte besonders gefallen neben normalen vorlesungen praxismodule bietet denen direkt grundlagen erfahrungsbericht weiterlesen,0.0,Praxisbezug
"Die Vorlesungsinhalte bekommt man nebenbei hin. Aber die wahren Kompetenzen lernt man in den Projekten drumrum. Sei es das Organisieren des Campusfestivals, das Mitwirken im Radio, Drehs von Kurzfilmen oder Produktionen im TV-Studio. Mittweida hat den Leitsatz „Mittweida ist das, was du draus machst“ und das stimmt. Wer sich hier engagiert, wird gefördert.",Mittweida,vorlesungsinhalte bekommt nebenbei wahren kompetenzen lernt projekten drumrum sei organisieren campusfestivals mitwirken radio drehs kurzfilmen produktionen mittweida leitsatz mittweida draus machst stimmt wer engagiert gefördert,0.0,Praxisbezug
"Das Studium bietet eine gute Grundlage um in die Medienbrachen einzusteigen. Neben den allgemeinen Modulen, wie Eventmanagement oder Recht, gibt es verschiedene Vertiefungen in denen man spezifischer in die jeweiligen Themen einsteigt. Die Hochschule bietet ein hochmodernes TV-Studio für professionelle Fernsehaufnahmen und ein Tonstudio für Moderationen im Radio.Die Dozenten verfügen über das nötige Fachwissen und vermitteln den Lehrstoff in angenehmen Portionen. Da es eine Hochschule ist und keine Uni,...Erfahrungsbericht weiterlesen",Mittweida,bietet gute grundlage medienbrachen einzusteigen neben allgemeinen modulen eventmanagement recht gibt verschiedene vertiefungen denen spezifischer jeweiligen themen einsteigt bietet hochmodernes professionelle fernsehaufnahmen tonstudio moderationen dozenten verfügen nötige fachwissen vermitteln lehrstoff angenehmen portionen erfahrungsbericht weiterlesen,0.0,Dozenten
"Ich bin sehr überzeugt von der Hochschule.Die Wege sind kurz, man kann immer auf augenhöhe mit den Dozenten reden und Fragen stellen.Es gibt eine sehr umfangreiche Bibliothek sowohl Digital als auch vor Ort.Technik sowohl in den Vorlesung, als auch die von der Hochschule ausleihbare, für eigene Projekte, ist auf einem sehr hohen Level.Auch stellen die meisten Professoren die Genutzten Lehrunterlagen online zur verfügung.",Mittweida,überzeugt wege kurz augenhöhe dozenten reden fragen gibt umfangreiche bibliothek sowohl digital sowohl vorlesung ausleihbare eigene projekte hohen stellen meisten professoren genutzten lehrunterlagen online verfügung,0.0,Dozenten
"Mittweida liegt mitten in Sachsen und ist wahrscheinlich der Ort mit der höchsten Studentendichte in Deutschland (ca. 6.000 Studenten auf 16.000 Einwohner). Obowhl neben dem Studentenclub und den vielen Dönerläden die Kleinstadt nicht so giel hergibt so kann man doch sehr viel aus seiner Zeit in Mittweida machen.""Mittweida ist was man draus macht.""Der Spruch geht seit Jahren umher, aber ich trifft wie die Faust aufs Auge....Erfahrungsbericht weiterlesen",Mittweida,mittweida liegt mitten sachsen wahrscheinlich ort höchsten studentendichte deutschland ca studenten einwohner obowhl neben studentenclub vielen dönerläden kleinstadt giel hergibt zeit mittweida mittweida draus macht spruch geht seit jahren umher trifft faust aufs auge erfahrungsbericht weiterlesen,0.0,Sonstiges
"Die Hochschule ist mit sehr viel Technik ausgestattet. Es gibt immer viele Möglichkeiten praxisnah zu arbeiten, vor allem in den höheren Semestern. Das Pendeln aus Chemnitz (nächstgrößere Stadt) ist mit Auto oder Zug möglich. Das Studentenleben dort scheint aber auch toll zu sein.",Mittweida,technik ausgestattet gibt möglichkeiten praxisnah arbeiten höheren semestern pendeln chemnitz nächstgrößere stadt auto zug möglich studentenleben scheint toll,0.0,Technik
"Ich habe sehr gern an der HSMW studiert. Der Studiengang ist sehr praxisorientiert und das ist auch das, was ihn ausgemacht hat. Außerdem hat die Hochschule einen wahnsinnig guten Ruf in der Jobwelt. Was zu wünschen übrig ließ waren teilweise die Vorlesungsinhalte. Aus den Praxisprojekten nimmt man viel mehr mit. Und Achtung: die Hochschule gibt nicht genug credits mit, um später an allen Unis/HS einen Master zu machen.",Mittweida,gern hsmw studiert praxisorientiert ausgemacht außerdem wahnsinnig guten ruf jobwelt wünschen übrig ließ teilweise vorlesungsinhalte praxisprojekten nimmt achtung gibt genug credits später master,0.0,Praxisbezug
"Wenn man etwas mit Medien in der Zukunft möchte, dann ist die Hochschule Mittweida der richtige Ort. Dank den Kompetenzcentern kann man eine großartige Praxis Erfahrung sammeln und sich für „die echte Welt“ vorbereiten. Die Professoren helfen beim entwickeln und den Netzwerk aufzubauen. Das Studium bietet eine Möglichkeit sich zu beweisen und vieles Neues zu lernen.",Mittweida,medien zukunft möchte mittweida richtige ort dank kompetenzcentern großartige praxis erfahrung sammeln echte welt vorbereiten professoren helfen beim entwickeln netzwerk aufzubauen bietet möglichkeit beweisen vieles neues lernen,0.0,Dozenten
"Das Studium macht viel Spaß, vor allem lernt man super viele neue Leute kennen. Derzeit wird der Studienablaufplan erneuert, weshalb es manchmal etwas chaotisch dahergeht. Im allem hat man aber sehr viele Möglichkeiten praktische Erfahrungen neben dem theoretischen Input zu erlangen, was ich sehr wertschätze.",Mittweida,macht spaß lernt super neue leute kennen derzeit studienablaufplan erneuert weshalb manchmal chaotisch dahergeht möglichkeiten praktische erfahrungen neben theoretischen input erlangen wertschätze,0.3333333333333333,Sonstiges
