text,rating,author,date
Very easy to look up and order parts order parts... fast shipping!,5,Ed3000,a day ago
Fast shipping and arrived with no damages. Highly recommend !,5,David,2 days ago
Excellent service! I was notified every step of the shipment process and a very accurate window of delivery.,5,Dave244,2 days ago
Prompt shipping and well packed. Had no broken parts,5,Axel,4 days ago
Very good shopping experience. Love the new Kaercher,5,BikeMike,4 days ago
Easily navigable website and shipment received promptly.,5,DBAune,4 days ago
Received order in a timely manner. Product works better than anticipated.,5,Revvie,4 days ago
Product arrived quickly.  Downside would be response on shipping must be 100 characters.  Annoying. Suggest cutting down the character count.,5,WEL87,5 days ago
Good device as usual. Used to have many karher devices they are great.,5,John,5 days ago
Site was easy to navigate and received order promptly and undamaged.,5,Customer1234,5 days ago
Shopping experience was smooth. Nothing negative ! I’ve received my order in the promised time frame.,5,JanetZ,5 days ago
Shipping was quick and product was well-packaged. Setup was easy and the map the product created was very accurate. The app is easy to navigate through. I love coming home to a clean house every day. This is one of several Karcher products I own and I would highly recommend this product to anyone on the market for a new robot vacuum.,5,jdubz,5 days ago
We like the machine and accessories. Heavier than we thought but it is ok. After two uses the power display doesn’t show anything. Dead as a door nail.,3,Itsus,5 days ago
"All was as expected , fast shipping good price thanks",5,Steve,7 days ago
Hate the difficult-to-navigate website with poor search tool. I ONLY SHOP HERE because I am not aware of any alternative.,3,AggravatedinDenver,7 days ago
I had difficulty finding the parts I needed using the online illustrated catalogue. Ultimately I had to call the support number and the agent I spoke to agreed that it was difficult to identify parts because the picture index numbers didn't match the descriptions in the part listings. Ultimately I ordered the parts that resolved my problem but I didn't have confidence that what I ordered was what I needed.,3,tomd514,7 days ago
Replacement part works well. I thought it was rather expensive,5,Piggye,7 days ago
The whole process of ordering went well.  Their customer service team was very helpful.,5,CO16,8 days ago
The whole shopping process and delivery were very easy and efficient.,5,Bob 2023,9 days ago
Outstanding product! Best warranty for the money. Outstanding customer service,5,Big Papa,10 days ago
"Shopping online we easy and efficient. However, the product leaks water all over. Seem when I turn on the pressure washer, the handle leak/sprays water on me. I tried to buy a new handle from you folks, but later you canceled the order.. Weird..  I think the O rings in the handle can't handle the 3,000 psi. need fix..!",4,Andy,10 days ago
"I was able to purchase the unit. I was interested online without much of an issue. However, I originally ordered the wrong unit, I contacted Carter within a day, and they advised you were unable to assist. Ultimately, I had to order a second unit and ship the original one back. This put the cost of two rather expensive power washers on my credit card, and one of them has still not been taken off and it's been over 10 days. Hopefully this will be resolved shortly.The unit was delivered in good working condition with no issues whatsoever and precisely as ordered. So overall, please, the quality of the product delivered promptly was just unfortunate. Their customer service could not accommodate the switch.",4,jayf901,10 days ago
I had a issue with purchasing online for some odd reason the application would not allow for payment . I called the contact number and they put into sales and I was able to purchase. Person was helpful on the phone.,4,Deare,24 days ago
I searched this part out ordered it and it was delivered to me in less than a week. Awesome customer service,5,rgcappy1,25 days ago
The purchase was straight forward! The purchase was straight forward!,5,SeaBee25,a month ago
"Wasn't delivered, money wasn't returned too , where is my parcel",1,Vero,a month ago
Our order was received faster than expected and the overall purchase was very easy to make.,5,bob27,a month ago
Easy to find what I needed.  Loved the free shipping!!,5,Jbox,a month ago
Could not have been any better. Easy to order and quick shipping.,5,Kevin,a month ago
Easy to order fast shipping really can’t say anything else,5,Vhart,a month ago
Product runs and looks good for now. Had question so called customer service and couldn’t get in touch! Otherwise product seems good.,5,Kenny,a month ago
"Ordering was failry easy, but I am waiting to here from customer service.  Received a replacment Trigger, May 29th, but realize the wand I have does not fit the NEW Trigger shipped.  Therefore, I need to see if I need the wand or if I have the wrong Trigger for the wand I have.",3,Frank,a month ago
Order and shipping worked out just like you would expect it to.,5,Fred,a month ago
Easy purchase.  Received quickly.  Boxed well with product showing no damage when opened.  Works great!,5,Doc7string,a month ago
Very helpful customer service rep when I had problems finding what I needed.  She guided me through the the website and instructed me how to get where I needed to be and I was able to find the parts I needed.  I received them quickly and was notified each step of the delivery process.,5,GGx3,a month ago
"Shopped around for the best stick vac and found one here. It's very powerful vs. others; lightweight and easy to use; relatively quiet (I expected it to be louder, honestly). It is picking up dust bunnies I can't see and I love that. I wish I could find a wider ""head"" for hardwood (I have a lot of them). I found a 20-something inch for my corded vac I use. It won't fit this though. That is my only issue. It's great on stairs, rugs, and sofas. Great in the bathroom and for baseboards with the brush head. Very pleased.",5,Cleanfreak,a month ago
Great price on a replacement part and shipped for free and received in a few days. This is my second experience with Karcher customer service and they beat all expectations. Five star service all around.,5,Jim Jr,a month ago
I had previously purchased a K1700 power washer. Your website accessories section listed Items for K2-K5 power washers. Where does a K1700 fit into the K2-K5 designations? I ended up ordering a surface washer that does not work with my washer. Now I'm waiting for instructions to return the surface washer I purchased.,3,Zman,a month ago
It was easy to find what I needed and get it on the way to our home.,5,HalJr,a month ago
First time customer and it was easy to place my order without having to jump through hoops. My order was received on the day promised.,5,Brucer,a month ago
Purchasing my pressure washer from Kärcher was so simple and the price was awesome.,5,theGoose,a month ago
Ordering process was easy and product shipped and arrived within a few days. It was a very good shopping experience,5,CAB8681,a month ago
"no soap in stock, double billed me and support sucks. NEVER AGAIN, you will get hammered on social media.",1,Turbo,a month ago
